#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
3.667295748e+04|9.379189174e+22|2.256072949e+23|2.983710571e+23|2.200471613e+23|2.200471613e+25|5.179388196e+29
6.502906664e+04|4.634008483e+23|5.688895052e+23|7.197238185e+23|5.888134668e+23|5.888134668e+25|1.488057287e+30
8.475450401e+04|8.533307919e+23|9.690323360e+23|1.121048570e+24|9.965201791e+23|9.965201791e+25|2.511224222e+30
1.008680854e+05|1.248983961e+24|1.379515786e+24|1.505691436e+24|1.368904768e+24|1.368904768e+26|3.549096049e+30
1.143822853e+05|1.605392501e+24|1.839106583e+24|1.980857415e+24|1.788912207e+24|1.788912207e+26|4.563806293e+30
1.266684632e+05|2.102601345e+24|2.246116159e+24|2.393900138e+24|2.278756745e+24|2.278756745e+26|5.592729968e+30
1.374727288e+05|2.441709900e+24|2.586531013e+24|2.733364357e+24|2.606298541e+24|2.606298541e+26|6.587237864e+30
1.474487703e+05|2.893417566e+24|3.035113758e+24|3.152668099e+24|3.016216141e+24|3.016216141e+26|7.574505630e+30
1.576417723e+05|3.244552258e+24|3.422001220e+24|3.580041264e+24|3.430172372e+24|3.430172372e+26|8.660285529e+30
1.663388114e+05|3.613215003e+24|3.781564763e+24|3.966704598e+24|3.789507792e+24|3.789507792e+26|9.640943163e+30
1.739538498e+05|3.933325591e+24|4.094641935e+24|4.324786158e+24|4.114571861e+24|4.114571861e+26|1.054338543e+31
1.820136590e+05|4.346301057e+24|4.540456715e+24|4.783775600e+24|4.583190901e+24|4.583190901e+26|1.154372263e+31
1.893409218e+05|4.738466173e+24|4.945047482e+24|5.140995580e+24|4.943516420e+24|4.943516420e+26|1.248881651e+31
1.976187522e+05|5.220122893e+24|5.398811594e+24|5.603268077e+24|5.405205588e+24|5.405205588e+26|1.360506316e+31
2.058197990e+05|5.608517147e+24|5.824661237e+24|6.024038754e+24|5.789001980e+24|5.789001980e+26|1.475857660e+31
2.130893871e+05|6.077272492e+24|6.283517371e+24|6.435989409e+24|6.311590644e+24|6.311590644e+26|1.581933345e+31
2.203740075e+05|6.422785599e+24|6.706845088e+24|6.948151182e+24|6.750129628e+24|6.750129628e+26|1.691831695e+31
2.263824165e+05|6.862361050e+24|7.026436964e+24|7.292256650e+24|7.092098124e+24|7.092098124e+26|1.785466413e+31
2.324141500e+05|7.252155730e+24|7.397595552e+24|7.691688703e+24|7.498113322e+24|7.498113322e+26|1.881611070e+31
2.382284703e+05|7.591065089e+24|7.749555414e+24|8.017056313e+24|7.757404721e+24|7.757404721e+26|1.976939965e+31
2.436752029e+05|7.957878743e+24|8.215480836e+24|8.435908385e+24|8.221101094e+24|8.221101094e+26|2.068454971e+31
2.495434442e+05|8.276130000e+24|8.556441237e+24|8.826848537e+24|8.562488212e+24|8.562488212e+26|2.168889321e+31
2.551317933e+05|8.663939893e+24|8.928628208e+24|9.265776521e+24|9.014405880e+24|9.014405880e+26|2.267750190e+31
2.611230865e+05|9.178783558e+24|9.393720738e+24|9.641889544e+24|9.442188683e+24|9.442188683e+26|2.375499156e+31
2.665391531e+05|9.486874892e+24|9.721259994e+24|1.005603466e+25|9.783022567e+24|9.783022567e+26|2.474527130e+31
2.723123055e+05|1.004690220e+25|1.026928698e+25|1.055726430e+25|1.030731122e+25|1.030731122e+27|2.583163506e+31
2.782065373e+05|1.037993093e+25|1.065777648e+25|1.095944751e+25|1.069349034e+25|1.069349034e+27|2.696432966e+31
2.833810412e+05|1.087275017e+25|1.108889674e+25|1.137567904e+25|1.110853239e+25|1.110853239e+27|2.797603033e+31
2.886128213e+05|1.120961215e+25|1.147656082e+25|1.171422484e+25|1.144004424e+25|1.144004424e+27|2.902144241e+31
2.935359137e+05|1.162825408e+25|1.187336308e+25|1.218100010e+25|1.189297990e+25|1.189297990e+27|3.001712694e+31
2.979195044e+05|1.200879946e+25|1.222362860e+25|1.258451699e+25|1.227327669e+25|1.227327669e+27|3.091611135e+31
3.029475267e+05|1.237242591e+25|1.260432367e+25|1.287800081e+25|1.268868931e+25|1.268868931e+27|3.197036539e+31
3.080759278e+05|1.276818820e+25|1.302339226e+25|1.348098129e+25|1.312909870e+25|1.312909870e+27|3.306124125e+31
3.125508906e+05|1.311841314e+25|1.347748215e+25|1.376066784e+25|1.346379779e+25|1.346379779e+27|3.403856251e+31
3.170992330e+05|1.368526669e+25|1.392694596e+25|1.427103671e+25|1.397952212e+25|1.397952212e+27|3.502714261e+31
3.210777091e+05|1.398675350e+25|1.426426882e+25|1.465848267e+25|1.426871886e+25|1.426871886e+27|3.591109063e+31
3.257535646e+05|1.439974297e+25|1.470890068e+25|1.502588145e+25|1.470328135e+25|1.470328135e+27|3.696360211e+31
3.310688237e+05|1.475090702e+25|1.507262152e+25|1.549604202e+25|1.516184024e+25|1.516184024e+27|3.818669189e+31
3.353976332e+05|1.515787630e+25|1.558500093e+25|1.587859238e+25|1.550853879e+25|1.550853879e+27|3.918755452e+31
3.400716081e+05|1.569527220e+25|1.599865013e+25|1.626828380e+25|1.605574484e+25|1.605574484e+27|4.028935195e+31
3.444160696e+05|1.596732369e+25|1.631363842e+25|1.671663241e+25|1.634583632e+25|1.634583632e+27|4.132528111e+31
