#R_planet
7.617520976e+06
#RRR|RR|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.947411673e+05|3.150874154e+05|2.313008455e+05|2.408923018e+05|7.551723750e+06|7.575075750e+06|7.617098000e+06|7.586549000e+06|7.550215500e+06|7.622884000e+06|2.702470000e+05|3.141955000e+05|3.550321250e+05|3.144109688e+05|2.589676406e+05|3.698543125e+05|1.871972390e+03|1.877182486e+03|1.882667215e+03|1.877696768e+03|1.872092716e+03|1.883300820e+03|5.615503361e+01|6.137534374e+01|6.686654850e+01|6.188911881e+01|5.628395647e+01|6.749428115e+01|6.042182628e+03|6.096449912e+03|6.149354249e+03|6.097285926e+03|6.041010263e+03|6.153561588e+03|5.467409563e+02|5.942974511e+02|6.520056981e+02|5.986445956e+02|5.401296049e+02|6.571595864e+02|3.097493504e+11|3.109287526e+11|3.118745518e+11|3.108728668e+11|3.094892052e+11|3.122565939e+11|1.616191488e+09|3.458809856e+09|5.467807744e+09|3.480550400e+09|9.967501440e+08|5.964350976e+09|1.193786914e+04|1.194762402e+04|1.195662598e+04|1.194544727e+04|1.193241895e+04|1.195847656e+04
4.483777868e+05|4.502802370e+05|3.503787703e+05|3.838326680e+05|7.513452000e+06|7.540389500e+06|7.579505125e+06|7.552032000e+06|7.505752500e+06|7.598313000e+06|2.378387500e+05|3.067875000e+05|3.696297500e+05|3.168505938e+05|2.365749219e+05|3.971262812e+05|1.875078755e+03|1.882217633e+03|1.889993695e+03|1.882686607e+03|1.874664267e+03|1.890708946e+03|5.927353119e+01|6.640422168e+01|7.418142404e+01|6.687995089e+01|5.885874130e+01|7.490116049e+01|6.052534827e+03|6.123686106e+03|6.195455744e+03|6.128989021e+03|6.049391247e+03|6.208586795e+03|5.513924985e+02|6.389321607e+02|7.079660044e+02|6.410166179e+02|5.574299041e+02|7.246033317e+02|3.068353085e+11|3.079591363e+11|3.090990940e+11|3.080774943e+11|3.064424366e+11|3.097124864e+11|-3.361341440e+08|2.752495616e+09|5.399388160e+09|2.569899520e+09|-1.006752256e+09|6.146551296e+09|1.190382031e+04|1.191887354e+04|1.193034399e+04|1.191541016e+04|1.189824609e+04|1.193257227e+04
5.329546683e+05|5.347929194e+05|4.213883910e+05|4.655179428e+05|7.467553875e+06|7.521696750e+06|7.570663625e+06|7.530013500e+06|7.469971000e+06|7.590055500e+06|2.681180000e+05|3.210747500e+05|4.092783750e+05|3.462831250e+05|2.528400000e+05|4.397262500e+05|1.874310122e+03|1.882903258e+03|1.891771692e+03|1.883897991e+03|1.874543920e+03|1.893252061e+03|5.850479958e+01|6.710251026e+01|7.597358948e+01|6.809250936e+01|5.873851601e+01|7.744650272e+01|6.039569019e+03|6.122829799e+03|6.201412740e+03|6.132553034e+03|6.037643031e+03|6.227463037e+03|5.489427985e+02|6.448132829e+02|7.403182791e+02|6.594848979e+02|5.607697215e+02|7.582000744e+02|3.051932058e+11|3.066102579e+11|3.078706463e+11|3.067076936e+11|3.047823770e+11|3.086330429e+11|1.024737280e+08|3.527573504e+09|7.198334976e+09|3.823036928e+09|-3.634108800e+08|8.009484800e+09|1.188983838e+04|1.190450830e+04|1.191541431e+04|1.190171289e+04|1.188298047e+04|1.192044531e+04
5.966510947e+05|5.964953748e+05|4.595550096e+05|5.085874315e+05|7.453619125e+06|7.501330250e+06|7.568580000e+06|7.522002000e+06|7.454800500e+06|7.589201500e+06|2.507798750e+05|3.423687500e+05|4.007783750e+05|3.428691562e+05|2.418169531e+05|4.439213750e+05|1.878698740e+03|1.887623136e+03|1.900138695e+03|1.888966814e+03|1.877325468e+03|1.900608159e+03|6.290116274e+01|7.181951520e+01|8.431603228e+01|7.316094125e+01|6.151948564e+01|8.480239685e+01|6.075066174e+03|6.160066128e+03|6.278511097e+03|6.173429054e+03|6.057639933e+03|6.289218175e+03|5.871968862e+02|6.930279729e+02|7.888327612e+02|7.016948373e+02|5.816166457e+02|8.217730289e+02|3.031272489e+11|3.050205676e+11|3.064877302e+11|3.052255969e+11|3.029613609e+11|3.074898657e+11|-1.017995264e+09|2.369601536e+09|5.867208704e+09|2.575223296e+09|-1.773163008e+09|6.923609600e+09|1.185978003e+04|1.188770459e+04|1.190367651e+04|1.188341797e+04|1.185902539e+04|1.190780859e+04
6.483712085e+05|6.509483774e+05|5.216091003e+05|5.690321618e+05|7.426213500e+06|7.472741500e+06|7.543525375e+06|7.493047500e+06|7.421921500e+06|7.564173000e+06|2.646572500e+05|3.351327500e+05|4.224811250e+05|3.503984062e+05|2.506272344e+05|4.501695625e+05|1.875586599e+03|1.884038430e+03|1.895547888e+03|1.886833142e+03|1.874547593e+03|1.899118690e+03|5.978858150e+01|6.822803379e+01|7.973255463e+01|7.102732417e+01|5.874210013e+01|8.331254821e+01|6.019314008e+03|6.110341458e+03|6.237973286e+03|6.146186018e+03|6.021648992e+03|6.270723044e+03|5.591539301e+02|6.515966831e+02|7.855056149e+02|6.850567743e+02|5.578883357e+02|8.122252129e+02|3.030334013e+11|3.041173996e+11|3.054467072e+11|3.042173911e+11|3.023441756e+11|3.060906721e+11|4.800839680e+08|3.620995072e+09|7.150338048e+09|3.425942528e+09|-6.479367680e+08|7.499822080e+09|1.186693262e+04|1.188112256e+04|1.189037817e+04|1.187606543e+04|1.185864648e+04|1.189348145e+04
6.948484210e+05|6.948257364e+05|5.375921348e+05|6.001745137e+05|7.383445625e+06|7.443803250e+06|7.532611500e+06|7.461529500e+06|7.379277000e+06|7.543783500e+06|2.394661250e+05|3.194440000e+05|4.394138750e+05|3.447800000e+05|2.283939375e+05|4.611661250e+05|1.874869764e+03|1.888129827e+03|1.900100156e+03|1.888209257e+03|1.874637257e+03|1.901781258e+03|5.904907127e+01|7.232969049e+01|8.429846199e+01|7.240495618e+01|5.883414097e+01|8.597577139e+01|6.015296248e+03|6.131659842e+03|6.273381732e+03|6.147818394e+03|6.011495585e+03|6.284141202e+03|5.565468392e+02|6.821570038e+02|8.186602287e+02|6.942353982e+02|5.522361612e+02|8.362346353e+02|3.010397962e+11|3.024626811e+11|3.041273528e+11|3.023415869e+11|2.999182623e+11|3.047649444e+11|-1.601011712e+09|3.289726976e+09|6.106537984e+09|2.869711104e+09|-1.533237632e+09|7.272659456e+09|1.184294214e+04|1.186697656e+04|1.187776245e+04|1.185738672e+04|1.183273242e+04|1.188203613e+04
7.336634500e+05|7.327977332e+05|5.845088219e+05|6.462043619e+05|7.387519125e+06|7.444713750e+06|7.532206250e+06|7.462429500e+06|7.380035000e+06|7.544823000e+06|2.615887500e+05|3.453472500e+05|4.560691250e+05|3.752857188e+05|2.579547656e+05|4.926167188e+05|1.875314648e+03|1.888506219e+03|1.901695492e+03|1.890204377e+03|1.876070535e+03|1.904338219e+03|5.949648432e+01|7.268275971e+01|8.589513078e+01|7.439840904e+01|6.026263251e+01|8.853418558e+01|6.016927721e+03|6.138477927e+03|6.281568945e+03|6.165357201e+03|6.019465177e+03|6.311249226e+03|5.678008921e+02|6.814763941e+02|8.554857525e+02|7.204533233e+02|5.702164040e+02|8.706902427e+02|3.005095936e+11|3.015547126e+11|3.032498258e+11|3.019575132e+11|2.999554540e+11|3.039596052e+11|-3.328163840e+08|3.407577088e+09|7.493746688e+09|3.992334848e+09|-6.857844480e+08|8.670453760e+09|1.183644458e+04|1.185548828e+04|1.186303906e+04|1.185201270e+04|1.183192090e+04|1.187210352e+04
7.700298288e+05|7.680148098e+05|6.043959423e+05|6.592369966e+05|7.340939125e+06|7.397468000e+06|7.472119500e+06|7.410729500e+06|7.340584500e+06|7.480876000e+06|2.464496250e+05|3.247730000e+05|4.576046250e+05|3.514727188e+05|2.306262031e+05|4.723192812e+05|1.872264088e+03|1.884241971e+03|1.895746207e+03|1.886076810e+03|1.872877565e+03|1.899276054e+03|5.645157429e+01|6.844178651e+01|7.994067344e+01|7.026941747e+01|5.706913234e+01|8.346970261e+01|5.973117640e+03|6.086496943e+03|6.210486680e+03|6.113408394e+03|5.982567229e+03|6.244249559e+03|5.341687059e+02|6.532835368e+02|7.811969729e+02|6.767227725e+02|5.368137277e+02|8.166318173e+02|2.990721434e+11|3.002966016e+11|3.015457915e+11|3.002392248e+11|2.984669348e+11|3.020115476e+11|-3.663626240e+08|3.426091008e+09|7.081000960e+09|3.692391680e+09|-8.283455360e+08|8.213128704e+09|1.182670801e+04|1.184658057e+04|1.185639307e+04|1.183984082e+04|1.182154883e+04|1.185813281e+04
8.035074732e+05|8.035077016e+05|6.483061309e+05|7.091385936e+05|7.317695875e+06|7.385014500e+06|7.448682500e+06|7.397396500e+06|7.319213500e+06|7.475580000e+06|2.514827500e+05|3.471812500e+05|4.506130000e+05|3.582395938e+05|2.424516406e+05|4.740275625e+05|1.874714477e+03|1.886022747e+03|1.898990884e+03|1.887342259e+03|1.874031480e+03|1.900653038e+03|5.891217476e+01|7.022331115e+01|8.318220161e+01|7.153598114e+01|5.822474416e+01|8.484721812e+01|5.978562344e+03|6.107292895e+03|6.244723040e+03|6.119698085e+03|5.987174677e+03|6.252221493e+03|5.578877104e+02|6.831709412e+02|8.002172621e+02|6.888993968e+02|5.502431646e+02|8.275556290e+02|2.979411067e+11|2.991905833e+11|3.007994921e+11|2.993067459e+11|2.973054730e+11|3.013080515e+11|-4.887101440e+08|4.115234816e+09|7.426621440e+09|3.783308032e+09|-7.946718720e+08|8.361288192e+09|1.181504126e+04|1.183530322e+04|1.184569116e+04|1.182999023e+04|1.181000293e+04|1.184997852e+04
8.370148625e+05|8.383249511e+05|7.059579530e+05|7.393557393e+05|7.305393875e+06|7.349583000e+06|7.429709625e+06|7.370781500e+06|7.297280500e+06|7.444279500e+06|2.407572500e+05|3.234192500e+05|4.139016250e+05|3.337154375e+05|2.292345156e+05|4.381963125e+05|1.874588253e+03|1.887041909e+03|1.899441677e+03|1.888420346e+03|1.874231489e+03|1.902609204e+03|5.877641654e+01|7.122112173e+01|8.364134242e+01|7.261279066e+01|5.842305345e+01|8.680252787e+01|5.990664381e+03|6.118043855e+03|6.224408337e+03|6.120217809e+03|5.979921753e+03|6.260513865e+03|5.656512936e+02|6.780300823e+02|8.053998617e+02|6.900230055e+02|5.487095758e+02|8.313364352e+02|2.962630574e+11|2.977368310e+11|2.990831206e+11|2.977434501e+11|2.957132104e+11|2.997736899e+11|-1.110917120e+09|2.458910720e+09|6.071795712e+09|2.326438144e+09|-2.137928448e+09|6.790804992e+09|1.179760913e+04|1.181926660e+04|1.183337476e+04|1.181437402e+04|1.179195996e+04|1.183678613e+04
