#R_planet
3.282833591e+06
#RRR|RR|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.623621493e+05|1.741583389e+05|1.275872723e+05|1.343125849e+05|2.136768438e+06|2.143681250e+06|2.149072438e+06|2.142233000e+06|2.134171250e+06|2.150294500e+06|4.751062500e+04|5.899418750e+04|6.806325000e+04|5.814662109e+04|4.604956641e+04|7.024368750e+04|1.878945477e+03|1.880994713e+03|1.882029217e+03|1.880692405e+03|1.878821232e+03|1.882563578e+03|2.666043222e+01|2.870928424e+01|2.974208051e+01|2.840690482e+01|2.653559843e+01|3.027821122e+01|3.287553372e+03|3.297991400e+03|3.306442075e+03|3.295682032e+03|3.283519805e+03|3.307844260e+03|1.092012764e+02|1.225766033e+02|1.368516946e+02|1.221878929e+02|1.064866716e+02|1.378891143e+02|4.420084634e+10|4.437283635e+10|4.458192896e+10|4.432687104e+10|4.402048205e+10|4.463325594e+10|-7.134156800e+08|-3.626844160e+08|9.323520000e+07|-3.331044160e+08|-8.698522880e+08|2.036434560e+08|8.079865479e+03|8.085741699e+03|8.091841064e+03|8.084542969e+03|8.076081055e+03|8.093006836e+03
2.476605102e+05|2.490969830e+05|1.934697663e+05|2.076476576e+05|2.130746500e+06|2.136713875e+06|2.145153375e+06|2.137301000e+06|2.127795000e+06|2.146807000e+06|4.732646875e+04|5.571068750e+04|6.722643750e+04|5.744260938e+04|4.398250000e+04|7.090272656e+04|1.879475085e+03|1.881054678e+03|1.883195709e+03|1.881232527e+03|1.879131829e+03|1.883333225e+03|2.718707507e+01|2.876785403e+01|3.090881029e+01|2.894673515e+01|2.684621184e+01|3.104725845e+01|3.279536143e+03|3.289552981e+03|3.303090982e+03|3.291119042e+03|3.277008084e+03|3.305230000e+03|1.079842696e+02|1.210449632e+02|1.378465345e+02|1.222469860e+02|1.050814546e+02|1.394125175e+02|4.378084352e+10|4.405707162e+10|4.425223475e+10|4.401051238e+10|4.364729958e+10|4.437371290e+10|-9.467525120e+08|-5.222359040e+08|3.967180800e+07|-4.296715200e+08|-1.081338240e+09|2.219951680e+08|8.068999512e+03|8.076403809e+03|8.081880249e+03|8.074609863e+03|8.064112305e+03|8.085107422e+03
2.943116465e+05|2.953232642e+05|2.319368402e+05|2.634241414e+05|2.127574312e+06|2.133827625e+06|2.141733625e+06|2.134702750e+06|2.125456250e+06|2.143949500e+06|4.652575000e+04|6.102212500e+04|7.044937500e+04|6.027000000e+04|4.607498828e+04|7.446500000e+04|1.879386514e+03|1.880547681e+03|1.883014372e+03|1.881315146e+03|1.879150277e+03|1.883480015e+03|2.710136921e+01|2.826028416e+01|3.072842010e+01|2.902898435e+01|2.686407262e+01|3.119389609e+01|3.276489908e+03|3.284867292e+03|3.298529477e+03|3.288320614e+03|3.274520406e+03|3.302120823e+03|1.088263977e+02|1.244663795e+02|1.399798182e+02|1.254265656e+02|1.079935311e+02|1.428596000e+02|4.369887130e+10|4.388933222e+10|4.403920179e+10|4.386796749e+10|4.353903002e+10|4.419690086e+10|-9.497180160e+08|-3.670343680e+08|3.186698240e+08|-2.895316480e+08|-1.010000256e+09|4.309369600e+08|8.064801392e+03|8.070380127e+03|8.075383545e+03|8.070372559e+03|8.060583008e+03|8.080162109e+03
3.294584429e+05|3.304922126e+05|2.653755493e+05|2.797318388e+05|2.123960438e+06|2.129265625e+06|2.137102125e+06|2.130092750e+06|2.121161500e+06|2.139023250e+06|4.657509375e+04|5.820693750e+04|7.087071875e+04|5.819912500e+04|4.391580859e+04|7.248242969e+04|1.878845640e+03|1.881057988e+03|1.882457220e+03|1.880870028e+03|1.878800017e+03|1.882940039e+03|2.655973155e+01|2.877355886e+01|3.017040343e+01|2.858379145e+01|2.651361916e+01|3.065396373e+01|3.272027917e+03|3.281858596e+03|3.292489143e+03|3.282168882e+03|3.268653702e+03|3.295684062e+03|1.069898480e+02|1.235079342e+02|1.378256338e+02|1.220476786e+02|1.044680065e+02|1.396273508e+02|4.350755123e+10|4.368248422e+10|4.386624717e+10|4.368425370e+10|4.335280128e+10|4.401571840e+10|-8.886896640e+08|-3.865088000e+08|3.980298240e+08|-3.412564800e+08|-1.040104256e+09|3.575912960e+08|8.059812500e+03|8.065745361e+03|8.070489990e+03|8.065689941e+03|8.056343262e+03|8.075036133e+03
3.594277654e+05|3.585400037e+05|2.977909577e+05|3.215550986e+05|2.116405875e+06|2.123690250e+06|2.130536688e+06|2.124111750e+06|2.115444750e+06|2.132778500e+06|4.323628125e+04|5.561637500e+04|6.648150000e+04|5.632028125e+04|4.135693359e+04|7.128363281e+04|1.879051659e+03|1.880175106e+03|1.881952431e+03|1.880461455e+03|1.878668841e+03|1.882254069e+03|2.676132218e+01|2.788874871e+01|2.966468226e+01|2.817502462e+01|2.638214465e+01|2.996790460e+01|3.262578514e+03|3.272876145e+03|3.285783425e+03|3.274503326e+03|3.261375683e+03|3.287630969e+03|1.032815033e+02|1.178460765e+02|1.343442679e+02|1.189244667e+02|1.009328355e+02|1.369160979e+02|4.324097741e+10|4.342001664e+10|4.358544794e+10|4.342562816e+10|4.313267405e+10|4.371858227e+10|-1.122002944e+09|-3.906048000e+08|1.492520960e+08|-3.859062080e+08|-1.120631040e+09|3.488186240e+08|8.054150391e+03|8.059346191e+03|8.063175171e+03|8.058766113e+03|8.050604492e+03|8.066928223e+03
3.882800449e+05|3.885165824e+05|3.311667903e+05|3.419707363e+05|2.114208312e+06|2.119975125e+06|2.125322188e+06|2.120015500e+06|2.113073500e+06|2.126957750e+06|4.446321875e+04|5.146868750e+04|6.543953125e+04|5.440924609e+04|4.116426172e+04|6.765422656e+04|1.878142354e+03|1.880109326e+03|1.881436019e+03|1.879974313e+03|1.878090706e+03|1.881857920e+03|2.585394988e+01|2.782240887e+01|2.915008261e+01|2.768796712e+01|2.580396797e+01|2.957196627e+01|3.259688880e+03|3.268624078e+03|3.275141069e+03|3.268836016e+03|3.258384813e+03|3.279287219e+03|1.038779961e+02|1.131186561e+02|1.289153836e+02|1.156637238e+02|1.005275397e+02|1.307999078e+02|4.309507686e+10|4.325075354e+10|4.343413760e+10|4.327288422e+10|4.298621747e+10|4.355955917e+10|-9.742551040e+08|-5.633024000e+08|1.596456960e+08|-4.248394240e+08|-1.147927040e+09|2.982481920e+08|8.050335815e+03|8.054166992e+03|8.060014404e+03|8.055020020e+03|8.046067383e+03|8.063974609e+03
4.134236104e+05|4.127686159e+05|3.709053077e+05|3.872353732e+05|2.108209750e+06|2.114238875e+06|2.122817500e+06|2.114895000e+06|2.105804250e+06|2.123985750e+06|4.037262500e+04|5.613468750e+04|6.556900000e+04|5.471769922e+04|4.007245312e+04|6.936293750e+04|1.877824899e+03|1.879910752e+03|1.882163774e+03|1.879958164e+03|1.877665407e+03|1.882250920e+03|2.553644700e+01|2.762551700e+01|2.987934509e+01|2.767172348e+01|2.537851579e+01|2.996493116e+01|3.250071914e+03|3.263168581e+03|3.276782851e+03|3.262893988e+03|3.248594977e+03|3.277193000e+03|9.797388617e+01|1.197683304e+02|1.285624273e+02|1.157425694e+02|9.757114341e+01|1.339139955e+02|4.285571482e+10|4.304571597e+10|4.316932608e+10|4.301127270e+10|4.273061888e+10|4.329192653e+10|-1.088031744e+09|-4.329717760e+08|1.704069120e+08|-4.031234880e+08|-1.118050304e+09|3.118033280e+08|8.041709839e+03|8.047935791e+03|8.052542480e+03|8.047400391e+03|8.039168945e+03|8.055633301e+03
4.394291459e+05|4.396494471e+05|3.961429006e+05|4.076850791e+05|2.103372000e+06|2.111550875e+06|2.120307000e+06|2.111532500e+06|2.101746500e+06|2.121318500e+06|4.320500000e+04|5.135306250e+04|6.630756250e+04|5.481596484e+04|3.938862891e+04|7.024332031e+04|1.877342984e+03|1.879632644e+03|1.881755553e+03|1.879647671e+03|1.877238014e+03|1.882057328e+03|2.505732816e+01|2.734407269e+01|2.947100569e+01|2.736066131e+01|2.495089247e+01|2.977043016e+01|3.244896273e+03|3.259277013e+03|3.272275142e+03|3.258404193e+03|3.243196568e+03|3.273611819e+03|9.761842468e+01|1.124425937e+02|1.297347787e+02|1.151002560e+02|9.614197604e+01|1.340585359e+02|4.271390720e+10|4.293715763e+10|4.308779418e+10|4.287468339e+10|4.254130176e+10|4.320806093e+10|-1.016495104e+09|-3.795435520e+08|1.625948160e+08|-3.589396800e+08|-1.136352768e+09|4.184734080e+08|8.037965332e+03|8.045859619e+03|8.050494507e+03|8.043847656e+03|8.033870117e+03|8.053825195e+03
4.615552044e+05|4.607986389e+05|4.111639632e+05|4.199661890e+05|2.099807188e+06|2.107324875e+06|2.114854750e+06|2.107747250e+06|2.098232250e+06|2.117262000e+06|4.016059375e+04|5.191043750e+04|5.954284375e+04|5.221368359e+04|3.851105469e+04|6.591631250e+04|1.877188452e+03|1.879511521e+03|1.881694576e+03|1.879569874e+03|1.877108806e+03|1.882030943e+03|2.489857826e+01|2.722417983e+01|2.940591624e+01|2.728255703e+01|2.482138976e+01|2.974372429e+01|3.240943210e+03|3.250941423e+03|3.266694872e+03|3.253868855e+03|3.239363020e+03|3.268374690e+03|9.532210773e+01|1.106175476e+02|1.240229564e+02|1.118610512e+02|9.440895115e+01|1.293131512e+02|4.246042522e+10|4.268241920e+10|4.286282445e+10|4.268906906e+10|4.237424640e+10|4.300389581e+10|-1.089859584e+09|-6.016000000e+08|9.964851200e+07|-4.829718080e+08|-1.177618048e+09|2.116744000e+08|8.033478149e+03|8.038090088e+03|8.043851685e+03|8.038526367e+03|8.029265137e+03|8.047787598e+03
4.834927658e+05|4.837693451e+05|4.497998471e+05|4.638081928e+05|2.094763594e+06|2.100566625e+06|2.107704188e+06|2.101022250e+06|2.093092625e+06|2.108951250e+06|3.801962500e+04|5.034537500e+04|6.459318750e+04|5.203342578e+04|3.809210938e+04|6.597472656e+04|1.876805890e+03|1.878671302e+03|1.880890022e+03|1.878916347e+03|1.876690551e+03|1.881142143e+03|2.451688018e+01|2.638423172e+01|2.860692676e+01|2.662915079e+01|2.440300848e+01|2.885529311e+01|3.232641760e+03|3.243310365e+03|3.255935941e+03|3.244795280e+03|3.232455231e+03|3.257135328e+03|9.392819434e+01|1.097875987e+02|1.249042406e+02|1.101121199e+02|9.305210129e+01|1.271721385e+02|4.225089741e+10|4.249452134e+10|4.260630528e+10|4.241949491e+10|4.212706918e+10|4.271192064e+10|-1.024110592e+09|-4.686090240e+08|1.849896960e+08|-4.102040000e+08|-1.131544192e+09|3.111361600e+08|8.026642700e+03|8.033744385e+03|8.038156616e+03|8.031548828e+03|8.022020508e+03|8.041077637e+03
