#R_planet
8.385151058e+06
#RRR|RR|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.751492662e+05|2.935241185e+05|2.142777030e+05|2.206427684e+05|6.010171375e+06|6.073830750e+06|6.159279250e+06|6.071772000e+06|5.993381000e+06|6.150162500e+06|1.533363375e+06|1.637611000e+06|1.785668250e+06|1.658335625e+06|1.497549000e+06|1.819122250e+06|2.126996514e+03|2.138073931e+03|2.146753468e+03|2.137162076e+03|2.126215449e+03|2.148108704e+03|3.064499230e+02|3.175279351e+02|3.262026896e+02|3.166116121e+02|3.056650448e+02|3.275581795e+02|7.507282360e+03|7.642366176e+03|7.766870596e+03|7.633939639e+03|7.495701205e+03|7.772178074e+03|2.990066571e+03|3.114577047e+03|3.201064340e+03|3.100100669e+03|2.963772524e+03|3.236428814e+03|1.807766405e+11|1.817642680e+11|1.829868954e+11|1.818169508e+11|1.807076884e+11|1.829262295e+11|1.131639603e+10|1.684988723e+10|2.440112538e+10|1.841297818e+10|1.029978726e+10|2.652616499e+10|1.023986865e+04|1.024630225e+04|1.025256934e+04|1.024675879e+04|1.023819141e+04|1.025532520e+04
4.190718719e+05|4.203769649e+05|3.295575443e+05|3.551636715e+05|5.982867750e+06|6.028352750e+06|6.103418375e+06|6.036603000e+06|5.966240000e+06|6.106967000e+06|1.525394625e+06|1.695890500e+06|1.909320750e+06|1.748346500e+06|1.528299000e+06|1.968394125e+06|2.130016527e+03|2.136350364e+03|2.147117047e+03|2.136379095e+03|2.125926802e+03|2.146831388e+03|3.094648270e+02|3.157999098e+02|3.265639491e+02|3.158283028e+02|3.053759922e+02|3.262806134e+02|7.519408708e+03|7.598293734e+03|7.730319669e+03|7.605022862e+03|7.476971044e+03|7.733074680e+03|2.990930520e+03|3.094177300e+03|3.240990250e+03|3.127972751e+03|2.981438586e+03|3.274506916e+03|1.795795313e+11|1.802656236e+11|1.812306780e+11|1.804453151e+11|1.794385674e+11|1.814520300e+11|1.192286208e+10|2.231208346e+10|3.094699213e+10|2.318964326e+10|1.219399168e+10|3.418529382e+10|1.022054541e+04|1.022824756e+04|1.023826660e+04|1.022989844e+04|1.021884473e+04|1.024095312e+04
4.985729636e+05|5.004057696e+05|3.872312582e+05|4.232539629e+05|5.965807625e+06|6.014759000e+06|6.078233000e+06|6.021266500e+06|5.952948500e+06|6.089584500e+06|1.508532375e+06|1.717740750e+06|1.947347062e+06|1.748711250e+06|1.514604750e+06|1.982817875e+06|2.130636184e+03|2.138367870e+03|2.145816189e+03|2.137468700e+03|2.127793557e+03|2.147143843e+03|3.100861832e+02|3.178147937e+02|3.252607759e+02|3.169169651e+02|3.072428875e+02|3.265910427e+02|7.517012095e+03|7.604130494e+03|7.703210471e+03|7.603689444e+03|7.483971296e+03|7.723407593e+03|3.007580472e+03|3.117484563e+03|3.265177986e+03|3.133725026e+03|2.983612250e+03|3.283837802e+03|1.783630111e+11|1.795619963e+11|1.807216599e+11|1.795386245e+11|1.783481958e+11|1.807290368e+11|9.777000448e+09|2.265720422e+10|3.324039578e+10|2.305394688e+10|1.158150656e+10|3.452639232e+10|1.020776514e+04|1.021545752e+04|1.022478735e+04|1.021625684e+04|1.020473730e+04|1.022777734e+04
5.561642515e+05|5.550131989e+05|4.410768193e+05|4.837632118e+05|5.926074875e+06|5.998436000e+06|6.047782000e+06|5.983542500e+06|5.911440000e+06|6.055646500e+06|1.496146625e+06|1.665642500e+06|1.902106125e+06|1.726657125e+06|1.485489500e+06|1.967824750e+06|2.126807449e+03|2.137418364e+03|2.145644439e+03|2.134822742e+03|2.123597825e+03|2.146047660e+03|3.062531798e+02|3.168723189e+02|3.250810265e+02|3.142722410e+02|3.030477699e+02|3.254967121e+02|7.454607340e+03|7.579557306e+03|7.692650890e+03|7.558440166e+03|7.424124422e+03|7.692755911e+03|2.956255114e+03|3.082538200e+03|3.204925041e+03|3.095895046e+03|2.928026152e+03|3.263763940e+03|1.777758003e+11|1.785292554e+11|1.791930368e+11|1.784536433e+11|1.775170847e+11|1.793902346e+11|9.960701952e+09|2.193984717e+10|3.331937485e+10|2.273832346e+10|1.115561677e+10|3.432103526e+10|1.019526172e+04|1.020297705e+04|1.021446289e+04|1.020589746e+04|1.019347363e+04|1.021832227e+04
6.072976564e+05|6.077878396e+05|4.854548783e+05|5.361509684e+05|5.921758125e+06|5.987052250e+06|6.051911750e+06|5.983469000e+06|5.911819000e+06|6.055118500e+06|1.483402250e+06|1.665727000e+06|1.944905625e+06|1.729498250e+06|1.466383250e+06|1.992613250e+06|2.129270977e+03|2.138688708e+03|2.147261938e+03|2.137781889e+03|2.127012701e+03|2.148551076e+03|3.087189508e+02|3.181347194e+02|3.267058362e+02|3.172310742e+02|3.064625619e+02|3.279995865e+02|7.471088759e+03|7.594210969e+03|7.696053456e+03|7.581735531e+03|7.452208605e+03|7.711262458e+03|2.971042529e+03|3.101590578e+03|3.261410743e+03|3.121085985e+03|2.947309950e+03|3.294862019e+03|1.770252247e+11|1.778490655e+11|1.788592169e+11|1.778112102e+11|1.767058801e+11|1.789165076e+11|9.432838144e+09|1.950117069e+10|3.352109875e+10|2.223665152e+10|9.530455040e+09|3.494284493e+10|1.018194556e+04|1.019055176e+04|1.020476343e+04|1.019280469e+04|1.017930273e+04|1.020630664e+04
6.494179429e+05|6.511473732e+05|4.857525661e+05|5.326577543e+05|5.898201625e+06|5.959997750e+06|6.010485375e+06|5.961632500e+06|5.887436000e+06|6.035830000e+06|1.505597250e+06|1.716143250e+06|2.025987625e+06|1.765493625e+06|1.503804125e+06|2.027183375e+06|2.126465619e+03|2.138407526e+03|2.147180885e+03|2.137968384e+03|2.126170548e+03|2.149766219e+03|3.059176532e+02|3.178504258e+02|3.266382811e+02|3.174171332e+02|3.056197637e+02|3.292145026e+02|7.441815334e+03|7.572392890e+03|7.667863476e+03|7.569150482e+03|7.428788935e+03|7.709512030e+03|2.991076748e+03|3.094916726e+03|3.255401726e+03|3.134524516e+03|2.961118089e+03|3.307930943e+03|1.758802166e+11|1.767947387e+11|1.775770419e+11|1.768086569e+11|1.757197435e+11|1.778976358e+11|1.195771494e+10|2.192524083e+10|3.775295898e+10|2.407521075e+10|1.140725862e+10|3.674316390e+10|1.016572876e+04|1.017750537e+04|1.019073950e+04|1.017909277e+04|1.016407812e+04|1.019410840e+04
6.847936512e+05|6.828776306e+05|5.554475660e+05|6.056694882e+05|5.909287375e+06|5.981382500e+06|6.063263750e+06|5.979445000e+06|5.884050000e+06|6.074839500e+06|1.520912000e+06|1.719314375e+06|1.967172250e+06|1.791930125e+06|1.506709500e+06|2.077150750e+06|2.129098894e+03|2.143557618e+03|2.154384701e+03|2.141925744e+03|2.127362202e+03|2.156489286e+03|3.085494229e+02|3.230043237e+02|3.338251686e+02|3.213740830e+02|3.068099541e+02|3.359382119e+02|7.467161450e+03|7.622133232e+03|7.767982794e+03|7.612883016e+03|7.435408437e+03|7.790357595e+03|3.020970235e+03|3.163246129e+03|3.304943956e+03|3.183358241e+03|2.966977633e+03|3.399738848e+03|1.756913787e+11|1.767599800e+11|1.778202747e+11|1.767034552e+11|1.754232259e+11|1.779836682e+11|1.041043046e+10|2.363049574e+10|3.399303578e+10|2.439073178e+10|1.100684493e+10|3.777461862e+10|1.015765625e+04|1.017150293e+04|1.018407788e+04|1.017137598e+04|1.015583105e+04|1.018691992e+04
7.202130721e+05|7.205672005e+05|5.698038753e+05|6.283815300e+05|5.869383375e+06|5.928344750e+06|5.990769875e+06|5.933134000e+06|5.854998000e+06|6.011269000e+06|1.499367500e+06|1.655524750e+06|1.955798688e+06|1.749397000e+06|1.471225750e+06|2.027567875e+06|2.127857375e+03|2.136610819e+03|2.147663297e+03|2.138529331e+03|2.125979043e+03|2.151079620e+03|3.073034832e+02|3.160611466e+02|3.271076919e+02|3.179779697e+02|3.054279603e+02|3.305279791e+02|7.430300242e+03|7.536626096e+03|7.658327539e+03|7.555100157e+03|7.405515587e+03|7.704684727e+03|2.958991602e+03|3.067998096e+03|3.260553045e+03|3.126901496e+03|2.928548806e+03|3.325254187e+03|1.744458834e+11|1.753404293e+11|1.764816323e+11|1.754329743e+11|1.742504264e+11|1.766155387e+11|1.120422707e+10|1.934721024e+10|3.451518976e+10|2.330763674e+10|1.050889830e+10|3.610638336e+10|1.014681226e+04|1.015826514e+04|1.017315723e+04|1.015970215e+04|1.014195117e+04|1.017745312e+04
7.513873624e+05|7.510732149e+05|5.771328091e+05|6.475945100e+05|5.854642875e+06|5.925768250e+06|6.003121625e+06|5.935628000e+06|5.842320500e+06|6.028935000e+06|1.502584875e+06|1.689142625e+06|1.925529062e+06|1.770238500e+06|1.503839000e+06|2.036638125e+06|2.128636661e+03|2.139822041e+03|2.153017102e+03|2.140893302e+03|2.126351559e+03|2.155435045e+03|3.080873191e+02|3.192767052e+02|3.324707800e+02|3.203436113e+02|3.058014293e+02|3.348857933e+02|7.426456215e+03|7.547945468e+03|7.709559619e+03|7.575722010e+03|7.400519054e+03|7.750924966e+03|2.947997032e+03|3.114557213e+03|3.279195180e+03|3.155543246e+03|2.939686895e+03|3.371399596e+03|1.740443853e+11|1.749519237e+11|1.757635748e+11|1.750190326e+11|1.738819666e+11|1.761560658e+11|1.199414477e+10|2.278229606e+10|3.219729203e+10|2.379585126e+10|1.139622810e+10|3.619546726e+10|1.013787842e+04|1.014906641e+04|1.016145239e+04|1.015040039e+04|1.013460742e+04|1.016619238e+04
7.789829637e+05|7.772371568e+05|6.160756273e+05|6.603923711e+05|5.865229375e+06|5.942620250e+06|5.993152250e+06|5.934914500e+06|5.847510500e+06|6.022317000e+06|1.541311625e+06|1.839309000e+06|1.974557875e+06|1.804089625e+06|1.536569000e+06|2.071610125e+06|2.132538936e+03|2.143536324e+03|2.152135269e+03|2.143143585e+03|2.129822438e+03|2.156464732e+03|3.119922248e+02|3.229879159e+02|3.315875986e+02|3.225922510e+02|3.092712134e+02|3.359132885e+02|7.470879744e+03|7.599790501e+03|7.698500648e+03|7.592694085e+03|7.431146775e+03|7.754241395e+03|3.018103817e+03|3.149492744e+03|3.346145242e+03|3.188383286e+03|2.986587138e+03|3.390179434e+03|1.733028905e+11|1.745908367e+11|1.758970593e+11|1.745075896e+11|1.731935764e+11|1.758215864e+11|1.318411878e+10|2.467791667e+10|3.501741261e+10|2.498049638e+10|1.290394624e+10|3.705704858e+10|1.012619238e+04|1.013887891e+04|1.015400366e+04|1.014001172e+04|1.012252539e+04|1.015749609e+04
