#R_planet
6.333056366e+07
#RRR|RR|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.623372337e+05|1.714020262e+05|1.270443072e+05|1.366390990e+05|2.213435062e+06|2.223813500e+06|2.233685750e+06|2.224443500e+06|2.212476250e+06|2.236411250e+06|1.270096250e+05|1.411665625e+05|1.524803750e+05|1.407212812e+05|1.261706172e+05|1.552719375e+05|1.895525915e+03|1.898236673e+03|1.902168218e+03|1.898708024e+03|1.894876204e+03|1.902539845e+03|4.324103369e+01|4.595213485e+01|4.988498468e+01|4.642238952e+01|4.259080733e+01|5.025397171e+01|3.407847004e+03|3.424988907e+03|3.441976613e+03|3.425373119e+03|3.405836350e+03|3.444909889e+03|2.370094297e+02|2.494470407e+02|2.702329839e+02|2.522938440e+02|2.310543902e+02|2.735332977e+02|4.600666624e+10|4.637212467e+10|4.664801792e+10|4.634870989e+10|4.594622874e+10|4.675120333e+10|1.202963456e+09|1.698226176e+09|2.188344320e+09|1.707891200e+09|1.091732480e+09|2.324050176e+09|8.106678345e+03|8.117299316e+03|8.127950073e+03|8.115865234e+03|8.103508789e+03|8.128220215e+03
2.468856249e+05|2.467796777e+05|1.975403784e+05|2.149554766e+05|2.200308438e+06|2.213686125e+06|2.227583375e+06|2.215647750e+06|2.200474000e+06|2.230822000e+06|1.166578125e+05|1.319228125e+05|1.550371562e+05|1.350668438e+05|1.155137969e+05|1.546199062e+05|1.891864227e+03|1.895968866e+03|1.902048467e+03|1.897041811e+03|1.891720871e+03|1.902362751e+03|3.957842233e+01|4.368406013e+01|4.976294149e+01|4.475602907e+01|3.943501472e+01|5.007704341e+01|3.383010512e+03|3.410549602e+03|3.436879157e+03|3.412000433e+03|3.384446467e+03|3.439554398e+03|2.121992272e+02|2.370635645e+02|2.712281178e+02|2.423348109e+02|2.110201835e+02|2.736494383e+02|4.581819597e+10|4.612026982e+10|4.639892582e+10|4.610479718e+10|4.575232819e+10|4.645724979e+10|1.078329344e+09|1.544161280e+09|2.153354240e+09|1.626998016e+09|9.923244160e+08|2.261671680e+09|8.103574585e+03|8.113150879e+03|8.120729614e+03|8.111403809e+03|8.100147949e+03|8.122658203e+03
2.942596896e+05|2.940467802e+05|2.282222981e+05|2.506502429e+05|2.198379125e+06|2.207836750e+06|2.228342062e+06|2.212051000e+06|2.196318000e+06|2.227784250e+06|1.162879062e+05|1.317030000e+05|1.564224688e+05|1.370131406e+05|1.166358516e+05|1.573904375e+05|1.891801859e+03|1.897820487e+03|1.902553121e+03|1.897900041e+03|1.891637889e+03|1.904162192e+03|3.951652048e+01|4.553208071e+01|5.026973761e+01|4.561407953e+01|3.935216389e+01|5.187599518e+01|3.381453532e+03|3.402793081e+03|3.435357183e+03|3.409689992e+03|3.379743069e+03|3.439636914e+03|2.151658381e+02|2.426495101e+02|2.776097507e+02|2.461022658e+02|2.128915440e+02|2.793129875e+02|4.555422413e+10|4.579492250e+10|4.619886694e+10|4.582043648e+10|4.545865318e+10|4.618222387e+10|1.123935232e+09|1.537200128e+09|2.030593024e+09|1.631047040e+09|9.807260160e+08|2.281368064e+09|8.090731323e+03|8.104369873e+03|8.114508667e+03|8.102033203e+03|8.087640137e+03|8.116426758e+03
3.292846652e+05|3.271491176e+05|2.573640575e+05|2.911235348e+05|2.182661688e+06|2.197007500e+06|2.216785125e+06|2.200635250e+06|2.182792250e+06|2.218478500e+06|1.161650312e+05|1.295193750e+05|1.446600625e+05|1.314326719e+05|1.115821797e+05|1.512831875e+05|1.888598092e+03|1.893778150e+03|1.903949699e+03|1.895817828e+03|1.888872764e+03|1.902762892e+03|3.631186414e+01|4.149412252e+01|5.166491400e+01|4.353156336e+01|3.658661613e+01|5.047651059e+01|3.359344250e+03|3.384531742e+03|3.427989547e+03|3.392436819e+03|3.358904264e+03|3.425969374e+03|2.033435318e+02|2.233015814e+02|2.636751274e+02|2.353027088e+02|2.010838030e+02|2.695216145e+02|4.514341274e+10|4.552096563e+10|4.588453888e+10|4.549301453e+10|4.503867802e+10|4.594735104e+10|1.007944704e+09|1.631213568e+09|2.127857664e+09|1.607955072e+09|8.256453760e+08|2.390265088e+09|8.080606689e+03|8.099690918e+03|8.112416260e+03|8.095745117e+03|8.078206055e+03|8.113281738e+03
3.572569574e+05|3.558556686e+05|2.806630681e+05|3.093104460e+05|2.185203062e+06|2.202017250e+06|2.218311438e+06|2.203265000e+06|2.185375250e+06|2.221154250e+06|1.125390000e+05|1.345506250e+05|1.546997812e+05|1.347947969e+05|1.131320469e+05|1.564575469e+05|1.891032269e+03|1.897758714e+03|1.904290900e+03|1.897400063e+03|1.890564054e+03|1.904236072e+03|3.874754025e+01|4.547269739e+01|5.200551470e+01|4.511365320e+01|3.827750626e+01|5.194980015e+01|3.363390407e+03|3.397043544e+03|3.428565504e+03|3.398641923e+03|3.365412449e+03|3.431871398e+03|2.133980752e+02|2.408107963e+02|2.770042021e+02|2.423091453e+02|2.074966111e+02|2.771216796e+02|4.516799590e+10|4.548777984e+10|4.576083149e+10|4.543655117e+10|4.500650803e+10|4.586660250e+10|8.596336640e+08|1.611415552e+09|2.286731264e+09|1.589591296e+09|7.357304320e+08|2.443452160e+09|8.082543335e+03|8.094035889e+03|8.105240356e+03|8.091787109e+03|8.075098145e+03|8.108475098e+03
3.830717396e+05|3.840153219e+05|3.020706445e+05|3.306544475e+05|2.176691438e+06|2.188742875e+06|2.210575688e+06|2.192160250e+06|2.174617500e+06|2.209702750e+06|1.105299375e+05|1.257633750e+05|1.488095312e+05|1.306675469e+05|1.089352969e+05|1.523997812e+05|1.887571511e+03|1.892407626e+03|1.901207762e+03|1.894023556e+03|1.887080942e+03|1.900966170e+03|3.528704514e+01|4.011909059e+01|4.892258871e+01|4.173680004e+01|3.479398709e+01|4.867961299e+01|3.346778006e+03|3.371349356e+03|3.413888590e+03|3.379163600e+03|3.346513318e+03|3.411813882e+03|1.959637911e+02|2.261526597e+02|2.679888749e+02|2.305409731e+02|1.949922318e+02|2.660897145e+02|4.498519552e+10|4.527592243e+10|4.560744346e+10|4.527902310e+10|4.485725389e+10|4.570079232e+10|1.020055552e+09|1.837989888e+09|2.457226240e+09|1.795860352e+09|9.820731520e+08|2.609647872e+09|8.080044434e+03|8.095132812e+03|8.105958374e+03|8.092286133e+03|8.076543945e+03|8.108028809e+03
4.044972855e+05|4.044596266e+05|3.175537453e+05|3.501627445e+05|2.172410812e+06|2.188801750e+06|2.207284000e+06|2.190646500e+06|2.171729750e+06|2.209563250e+06|1.108405000e+05|1.278452500e+05|1.430833438e+05|1.289957188e+05|1.065392812e+05|1.514521719e+05|1.887671834e+03|1.894761857e+03|1.902501121e+03|1.895305065e+03|1.887827711e+03|1.902782420e+03|3.538622686e+01|4.247574696e+01|5.021550429e+01|4.301852656e+01|3.554102953e+01|5.049602359e+01|3.346521667e+03|3.377394927e+03|3.414181985e+03|3.379996693e+03|3.344430017e+03|3.415563369e+03|1.993156510e+02|2.271015820e+02|2.600904885e+02|2.312252641e+02|1.943058943e+02|2.681446338e+02|4.474229146e+10|4.510922752e+10|4.539307725e+10|4.504907776e+10|4.459592090e+10|4.550223872e+10|6.920140800e+08|1.387352064e+09|2.305750016e+09|1.557975040e+09|6.317415680e+08|2.484208640e+09|8.069907715e+03|8.086009766e+03|8.100265137e+03|8.083782715e+03|8.065145508e+03|8.102419434e+03
4.252802603e+05|4.257896813e+05|3.364595069e+05|3.816901197e+05|2.174512812e+06|2.186763000e+06|2.205192500e+06|2.189541000e+06|2.171980750e+06|2.207101500e+06|1.121423125e+05|1.275159375e+05|1.498179375e+05|1.303083828e+05|1.091975625e+05|1.514191719e+05|1.889389739e+03|1.895151802e+03|1.902147320e+03|1.895666099e+03|1.888804332e+03|1.902527867e+03|3.709931335e+01|4.286241791e+01|4.985935426e+01|4.337904419e+01|3.651698648e+01|5.024110191e+01|3.348427244e+03|3.379190920e+03|3.411684860e+03|3.379449602e+03|3.346854060e+03|3.412045145e+03|2.017511638e+02|2.247787224e+02|2.611821387e+02|2.333468903e+02|1.980460330e+02|2.686477476e+02|4.465283891e+10|4.491583693e+10|4.527741338e+10|4.495096218e+10|4.452657971e+10|4.537534874e+10|9.643786240e+08|1.691424768e+09|2.258892800e+09|1.585955840e+09|8.085191680e+08|2.363392512e+09|8.066813965e+03|8.082496582e+03|8.094400391e+03|8.080451172e+03|8.064115234e+03|8.096786133e+03
4.419624866e+05|4.413885055e+05|3.414748375e+05|3.800135160e+05|2.161731438e+06|2.174345250e+06|2.195655125e+06|2.180002000e+06|2.160712750e+06|2.199291000e+06|1.039965938e+05|1.188464375e+05|1.482729062e+05|1.258130625e+05|1.009762812e+05|1.506498281e+05|1.885550224e+03|1.892261847e+03|1.899136330e+03|1.893036157e+03|1.886006178e+03|1.900066136e+03|3.326316112e+01|3.997619974e+01|4.685187564e+01|4.074904354e+01|3.371886213e+01|4.777922495e+01|3.329982749e+03|3.357376312e+03|3.394218567e+03|3.363306975e+03|3.328148127e+03|3.398465823e+03|1.861434785e+02|2.160176468e+02|2.627535620e+02|2.228384052e+02|1.822243482e+02|2.634524623e+02|4.442032435e+10|4.485754061e+10|4.511519539e+10|4.478053990e+10|4.433872486e+10|4.522235085e+10|1.084383232e+09|1.631565824e+09|2.232287232e+09|1.679241344e+09|9.038901120e+08|2.454592512e+09|8.066895996e+03|8.085402344e+03|8.092101562e+03|8.079439941e+03|8.063708984e+03|8.095171387e+03
4.595837134e+05|4.598076232e+05|3.635771985e+05|3.902487766e+05|2.159146312e+06|2.174824250e+06|2.184966188e+06|2.174000250e+06|2.158761000e+06|2.189239000e+06|1.054694688e+05|1.202531875e+05|1.343885000e+05|1.220106562e+05|1.021939297e+05|1.418273906e+05|1.886890469e+03|1.891785483e+03|1.898124894e+03|1.892295155e+03|1.886190868e+03|1.898399442e+03|3.460302811e+01|3.949708679e+01|4.583684390e+01|4.000790624e+01|3.390343616e+01|4.611237633e+01|3.326482907e+03|3.356415310e+03|3.375391743e+03|3.354877829e+03|3.327402218e+03|3.382353441e+03|1.900368437e+02|2.152254511e+02|2.441448724e+02|2.168489291e+02|1.853118636e+02|2.483859945e+02|4.422113997e+10|4.462105395e+10|4.497507635e+10|4.456617984e+10|4.407402086e+10|4.505833472e+10|9.007626240e+08|1.577877504e+09|2.293827584e+09|1.579658880e+09|7.322320000e+08|2.427086336e+09|8.061365112e+03|8.077663330e+03|8.088607666e+03|8.074353027e+03|8.056584473e+03|8.092122559e+03
4.757968222e+05|4.757161216e+05|3.671050108e+05|4.058826388e+05|2.157627625e+06|2.170104000e+06|2.184563188e+06|2.172201750e+06|2.157291250e+06|2.187112750e+06|1.034560625e+05|1.182592500e+05|1.331462812e+05|1.193258438e+05|1.011685000e+05|1.374831875e+05|1.887087120e+03|1.893026885e+03|1.900231447e+03|1.893455740e+03|1.886771696e+03|1.900139783e+03|3.479895263e+01|4.074000737e+01|4.794388927e+01|4.116854981e+01|3.448466181e+01|4.785243781e+01|3.325860706e+03|3.351667593e+03|3.385786680e+03|3.355122807e+03|3.326015512e+03|3.384230101e+03|1.887288512e+02|2.112905429e+02|2.414560152e+02|2.161031446e+02|1.862369852e+02|2.459693040e+02|4.404480307e+10|4.439390618e+10|4.469050573e+10|4.433659904e+10|4.395116954e+10|4.472201626e+10|6.779156480e+08|1.378973696e+09|2.067194880e+09|1.303712512e+09|5.179712320e+08|2.089453824e+09|8.051508301e+03|8.066814941e+03|8.081445679e+03|8.066030762e+03|8.049583984e+03|8.082479980e+03
4.896601224e+05|4.900445872e+05|4.036947649e+05|4.535649863e+05|2.157385375e+06|2.172903250e+06|2.186667250e+06|2.174086000e+06|2.159055750e+06|2.189116250e+06|1.084938438e+05|1.270208125e+05|1.436644062e+05|1.282282734e+05|1.088512422e+05|1.476052969e+05|1.890107994e+03|1.894860898e+03|1.900251408e+03|1.894872566e+03|1.888956867e+03|1.900788265e+03|3.782331641e+01|4.257287356e+01|4.796704954e+01|4.258573292e+01|3.666979691e+01|4.850166892e+01|3.334155574e+03|3.360233855e+03|3.383814344e+03|3.360053273e+03|3.332402011e+03|3.387704535e+03|2.011742876e+02|2.302399010e+02|2.560141248e+02|2.289470186e+02|1.994386403e+02|2.584553969e+02|4.385553510e+10|4.425150464e+10|4.467174195e+10|4.426381312e+10|4.381014835e+10|4.471748198e+10|8.692592640e+08|1.444069376e+09|2.326125568e+09|1.598810880e+09|7.010484480e+08|2.496573440e+09|8.048815674e+03|8.064229492e+03|8.074938477e+03|8.061826660e+03|8.045348633e+03|8.078304199e+03
5.031417411e+05|5.041739801e+05|3.799418910e+05|4.221612684e+05|2.150360000e+06|2.162259750e+06|2.177847250e+06|2.165299500e+06|2.149259750e+06|2.181339250e+06|1.020371250e+05|1.166033125e+05|1.376660625e+05|1.198534297e+05|9.976817969e+04|1.399387031e+05|1.885942716e+03|1.891981882e+03|1.896841811e+03|1.891503937e+03|1.885431245e+03|1.897576630e+03|3.365424516e+01|3.969350576e+01|4.455684195e+01|3.921699445e+01|3.314420120e+01|4.528978770e+01|3.314037372e+03|3.342634659e+03|3.368584021e+03|3.343347548e+03|3.314316409e+03|3.372378686e+03|1.820093599e+02|2.122381029e+02|2.378422554e+02|2.126911124e+02|1.819913989e+02|2.433908260e+02|4.391434650e+10|4.420262707e+10|4.462124646e+10|4.421820826e+10|4.376421581e+10|4.467219661e+10|7.987804160e+08|1.604845568e+09|2.226829312e+09|1.574603648e+09|6.800214400e+08|2.469186560e+09|8.055883789e+03|8.069727783e+03|8.078903442e+03|8.065495605e+03|8.049871094e+03|8.081120117e+03
5.167316804e+05|5.161250193e+05|4.008466898e+05|4.380101281e+05|2.151104188e+06|2.160770625e+06|2.173436625e+06|2.161519500e+06|2.148088750e+06|2.174951000e+06|1.048264688e+05|1.198256875e+05|1.330492500e+05|1.191662031e+05|1.003897734e+05|1.379426094e+05|1.886512588e+03|1.891176206e+03|1.897843734e+03|1.891916905e+03|1.885788131e+03|1.898045679e+03|3.422791941e+01|3.888940748e+01|4.555782016e+01|3.963035235e+01|3.350165613e+01|4.575904856e+01|3.314523530e+03|3.338680306e+03|3.364126987e+03|3.339754217e+03|3.313341647e+03|3.366166787e+03|1.868304653e+02|2.153337371e+02|2.392654371e+02|2.126076203e+02|1.841974179e+02|2.410178227e+02|4.364220211e+10|4.390383821e+10|4.438462669e+10|4.397766656e+10|4.356639949e+10|4.438894182e+10|5.474764800e+08|1.401231360e+09|2.143746048e+09|1.496437504e+09|5.859536640e+08|2.406921216e+09|8.043634399e+03|8.060566650e+03|8.072482910e+03|8.057918945e+03|8.041019531e+03|8.074819336e+03
5.300525172e+05|5.299806744e+05|4.155537831e+05|4.530755678e+05|2.142770625e+06|2.155469625e+06|2.166371125e+06|2.156883000e+06|2.142051250e+06|2.171714500e+06|9.764934375e+04|1.126746250e+05|1.273340312e+05|1.156901328e+05|9.719020312e+04|1.341900625e+05|1.884533454e+03|1.889000178e+03|1.895365562e+03|1.890448308e+03|1.884326230e+03|1.896570385e+03|3.224981679e+01|3.671557070e+01|4.307693414e+01|3.816145442e+01|3.203935005e+01|4.428355878e+01|3.305722772e+03|3.326579474e+03|3.351804820e+03|3.331562325e+03|3.303530680e+03|3.359593970e+03|1.840451610e+02|1.998543273e+02|2.273699178e+02|2.056899615e+02|1.770025842e+02|2.343773389e+02|4.358998118e+10|4.391634330e+10|4.423915315e+10|4.391556710e+10|4.351899238e+10|4.431214592e+10|6.423726080e+08|1.350234112e+09|2.207471616e+09|1.494752000e+09|5.640132480e+08|2.425490944e+09|8.046490967e+03|8.058560791e+03|8.072493408e+03|8.058285156e+03|8.042448730e+03|8.074121094e+03
5.408863890e+05|5.408917422e+05|4.370963413e+05|4.790442062e+05|2.143439125e+06|2.151293375e+06|2.166089812e+06|2.155521250e+06|2.141791750e+06|2.169250250e+06|9.974240625e+04|1.131592500e+05|1.301995000e+05|1.155750625e+05|9.658857031e+04|1.345615469e+05|1.887457418e+03|1.892049255e+03|1.896124525e+03|1.891879329e+03|1.886586313e+03|1.897172345e+03|3.516770672e+01|3.976171131e+01|4.383495818e+01|3.959239315e+01|3.429935159e+01|4.488543471e+01|3.308100027e+03|3.327829538e+03|3.351707904e+03|3.332704072e+03|3.307818506e+03|3.357589638e+03|1.836706199e+02|2.081783649e+02|2.303352561e+02|2.082383065e+02|1.801480433e+02|2.363285697e+02|4.332792320e+10|4.373302886e+10|4.398881178e+10|4.367681126e+10|4.325167104e+10|4.410194739e+10|5.768120320e+08|1.209858048e+09|2.011447296e+09|1.321367936e+09|4.425874560e+08|2.200148480e+09|8.034819824e+03|8.052432861e+03|8.060757690e+03|8.049228027e+03|8.033198730e+03|8.065255859e+03
5.524962812e+05|5.525982016e+05|4.347371841e+05|4.882608891e+05|2.141040562e+06|2.153023125e+06|2.169611062e+06|2.155780250e+06|2.139276750e+06|2.172283500e+06|9.682912500e+04|1.180812500e+05|1.393313438e+05|1.189868438e+05|9.609439062e+04|1.418792969e+05|1.885757351e+03|1.892138157e+03|1.895964822e+03|1.891560783e+03|1.885571517e+03|1.897550048e+03|3.346862711e+01|3.984908781e+01|4.367927926e+01|3.927391232e+01|3.328473614e+01|4.526308850e+01|3.302894869e+03|3.331965243e+03|3.358886871e+03|3.332400355e+03|3.303210468e+03|3.361590243e+03|1.803535376e+02|2.097476860e+02|2.403980186e+02|2.115171527e+02|1.780810127e+02|2.449532928e+02|4.338378650e+10|4.377345843e+10|4.407845888e+10|4.372691763e+10|4.326427853e+10|4.418956083e+10|7.692318720e+08|1.377898496e+09|2.447512576e+09|1.537121920e+09|5.120719360e+08|2.562171648e+09|8.041258301e+03|8.052988037e+03|8.065500000e+03|8.051138184e+03|8.034562500e+03|8.067715820e+03
5.639470999e+05|5.641319264e+05|4.379954689e+05|4.796599923e+05|2.137525812e+06|2.150431000e+06|2.165679000e+06|2.151903250e+06|2.137088000e+06|2.166718500e+06|9.151906250e+04|1.119521250e+05|1.336895000e+05|1.132686406e+05|9.054609375e+04|1.359912031e+05|1.886503616e+03|1.891225409e+03|1.896087651e+03|1.891018083e+03|1.885331948e+03|1.896704219e+03|3.421525594e+01|3.893909227e+01|4.380338502e+01|3.873113009e+01|3.304488602e+01|4.441737417e+01|3.303044827e+03|3.325451121e+03|3.348423632e+03|3.326852398e+03|3.299987199e+03|3.353717597e+03|1.743142738e+02|2.018096933e+02|2.320727963e+02|2.039035305e+02|1.714523103e+02|2.363547507e+02|4.329383629e+10|4.360625357e+10|4.397461606e+10|4.359446938e+10|4.314771046e+10|4.404123648e+10|3.876096000e+08|1.334108160e+09|2.124284928e+09|1.308276864e+09|2.841389440e+08|2.332414464e+09|8.039024902e+03|8.048317871e+03|8.062088379e+03|8.048100586e+03|8.032482910e+03|8.063716309e+03
5.741980194e+05|5.738922430e+05|4.687839794e+05|5.190107515e+05|2.131003188e+06|2.141124000e+06|2.152426875e+06|2.143707750e+06|2.129687000e+06|2.157728500e+06|9.593428125e+04|1.108570000e+05|1.311139375e+05|1.131498672e+05|9.317245312e+04|1.331272812e+05|1.884615655e+03|1.889291631e+03|1.893285646e+03|1.889377581e+03|1.883976933e+03|1.894778229e+03|3.232668536e+01|3.700618632e+01|4.099707525e+01|3.709056338e+01|3.169004077e+01|4.249108599e+01|3.293695992e+03|3.309551026e+03|3.330996679e+03|3.314167502e+03|3.289651775e+03|3.338683228e+03|1.712691836e+02|2.010641629e+02|2.236546342e+02|2.003679151e+02|1.710519102e+02|2.296839200e+02|4.306661171e+10|4.330278912e+10|4.384192512e+10|4.337109402e+10|4.290251162e+10|4.383968461e+10|6.111682560e+08|1.511057408e+09|2.447717376e+09|1.508859520e+09|5.242123840e+08|2.493506560e+09|8.031379517e+03|8.046564209e+03|8.060083252e+03|8.044002441e+03|8.027147461e+03|8.060856445e+03
5.847703783e+05|5.851315092e+05|4.431745179e+05|4.752360541e+05|2.132292250e+06|2.144585750e+06|2.156115438e+06|2.145436000e+06|2.131518000e+06|2.159354250e+06|9.631012500e+04|1.112958750e+05|1.271186562e+05|1.145025312e+05|9.545117969e+04|1.335538594e+05|1.883838119e+03|1.889620894e+03|1.893655723e+03|1.889510538e+03|1.884081096e+03|1.894939981e+03|3.154829434e+01|3.733394517e+01|4.137134324e+01|3.722412917e+01|3.179456859e+01|4.265368976e+01|3.291773827e+03|3.316028152e+03|3.333972885e+03|3.316441443e+03|3.291286447e+03|3.341596440e+03|1.730956495e+02|1.985469109e+02|2.243325003e+02|2.021837897e+02|1.726728656e+02|2.316947138e+02|4.313980518e+10|4.346084762e+10|4.377716429e+10|4.344388813e+10|4.301210829e+10|4.387566387e+10|8.788858880e+08|1.611855872e+09|2.150129664e+09|1.561424256e+09|7.618852480e+08|2.360962816e+09|8.036696899e+03|8.047458252e+03|8.059713135e+03|8.045941406e+03|8.030476074e+03|8.061405762e+03
5.935357621e+05|5.935791184e+05|4.567506201e+05|5.149333175e+05|2.132467125e+06|2.146655250e+06|2.158963750e+06|2.145562250e+06|2.130668000e+06|2.160456500e+06|9.430440625e+04|1.145906875e+05|1.362681250e+05|1.152970078e+05|9.235228906e+04|1.382417031e+05|1.886249320e+03|1.891823768e+03|1.896233187e+03|1.891400894e+03|1.885742488e+03|1.897059300e+03|3.396020167e+01|3.953596213e+01|4.394784864e+01|3.911424963e+01|3.345531789e+01|4.477318138e+01|3.295323096e+03|3.324482436e+03|3.340910920e+03|3.320168664e+03|3.293262389e+03|3.347074938e+03|1.786825059e+02|2.105812187e+02|2.339557048e+02|2.067252911e+02|1.739455393e+02|2.395050430e+02|4.289901670e+10|4.327959757e+10|4.364135322e+10|4.322540749e+10|4.277459763e+10|4.367621734e+10|4.257505280e+08|1.239316480e+09|2.288527360e+09|1.378803584e+09|3.068758400e+08|2.450731264e+09|8.025722290e+03|8.039962646e+03|8.050675293e+03|8.036755859e+03|8.020559570e+03|8.052951660e+03
6.039435791e+05|6.039156248e+05|4.794477695e+05|5.224912820e+05|2.125777875e+06|2.134789500e+06|2.146378188e+06|2.137399750e+06|2.124858250e+06|2.149941500e+06|9.427612500e+04|1.086979375e+05|1.238562812e+05|1.090821797e+05|9.077670312e+04|1.273876484e+05|1.884217417e+03|1.887883596e+03|1.892787115e+03|1.888913084e+03|1.883908568e+03|1.893917599e+03|3.193168613e+01|3.559561861e+01|4.050110610e+01|3.662671611e+01|3.162219629e+01|4.163123594e+01|3.281255594e+03|3.302414756e+03|3.321768557e+03|3.305931423e+03|3.283237685e+03|3.328625160e+03|1.721955609e+02|1.925078534e+02|2.143449974e+02|1.946806889e+02|1.676171400e+02|2.217442378e+02|4.274265907e+10|4.317446758e+10|4.351940096e+10|4.310438298e+10|4.266038477e+10|4.354838528e+10|6.306242560e+08|1.309540352e+09|2.013417472e+09|1.359781376e+09|5.008900160e+08|2.218672384e+09|8.023137207e+03|8.036666992e+03|8.052145142e+03|8.036908691e+03|8.020492676e+03|8.053328125e+03
