Rt Ri Mt Mi vi b Type(1-M,2-GM,3-HR,4-e)(now1-SC,2-Pe,3-PA,4-PM,5-GnM,6-Hnr)
0.517 0.2913 0.1 0.01667 1.0 0.0 3
0.517 0.2913 0.1 0.01667 1.15 0.0 3
0.517 0.2913 0.1 0.01667 1.5 0.0 3
0.517 0.2913 0.1 0.01667 2.0 0.0 3
0.517 0.2913 0.1 0.01667 1.0 0.34202 3
0.517 0.2913 0.1 0.01667 1.15 0.34202 3
0.517 0.2913 0.1 0.01667 1.5 0.34202 3
0.517 0.2913 0.1 0.01667 2.0 0.34202 3	
0.517 0.2913 0.1 0.01667 1.0 0.5 3
0.517 0.2913 0.1 0.01667 1.15 0.5 3
0.517 0.2913 0.1 0.01667 1.5 0.5 3
0.517 0.2913 0.1 0.01667 2.0 0.5 6
0.517 0.2913 0.1 0.01667 1.0 0.70711 3
0.517 0.2913 0.1 0.01667 1.15 0.70711 5
0.517 0.2913 0.1 0.01667 1.5 0.70711 6
0.517 0.2913 0.1 0.01667 2.0 0.70711 6
0.517 0.2913 0.1 0.01667 1.0 0.86603 5
0.517 0.2913 0.1 0.01667 1.15 0.86603 6
0.517 0.2913 0.1 0.01667 1.5 0.86603 6
0.517 0.2913 0.1 0.01667 2.0 0.86603 6
0.517 0.2913 0.1 0.01667 1.0 0.96593 5
0.517 0.2913 0.1 0.01667 1.025 0.96593 5
0.517 0.2913 0.1 0.01667 1.05 0.96593 5
0.517 0.2913 0.1 0.01667 1.1 0.96593 6
0.517 0.2913 0.1 0.01667 1.0 0.99999 5
0.517 0.2913 0.1 0.01667 1.025 0.99999 5
0.517 0.2913 0.1 0.01667 1.05e00 0.99999 5
